2025-12-16 07:59:43.457 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 07:59:47.126 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 07:59:47.126 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/gp/product/B0D...
2025-12-16 07:59:47.727 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (1/15)
2025-12-16 07:59:49.091 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 07:59:49.092 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/Curcuma-Plus-C...
2025-12-16 07:59:49.273 | ERROR    | __main__:processar_oferta:119 - ❌ Erro ao postar no Twitter: 403 Forbidden
You are not allowed to create a Tweet with duplicate content.
2025-12-16 08:00:00.094 | ERROR    | src.core.link_router:processar:65 - Erro ao processar link Amazon: 'Settings' object has no attribute 'MINHA_TAG_AMAZON'
2025-12-16 08:00:00.094 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 08:00:04.877 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 08:00:04.877 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/dp/B0CQRYH9MP?...
2025-12-16 08:00:05.169 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (2/15)
2025-12-16 08:00:08.861 | ERROR    | src.core.link_router:processar:65 - Erro ao processar link Amazon: 'Settings' object has no attribute 'MINHA_TAG_AMAZON'
2025-12-16 08:00:08.861 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 08:00:13.748 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 08:00:13.748 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/Permanente-Pro...
2025-12-16 08:00:14.048 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (3/15)
2025-12-16 08:00:23.412 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (MERCADO LIVRE) ignorado: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 08:02:20.250 | ERROR    | src.core.link_router:processar:65 - Erro ao processar link Amazon: 'Settings' object has no attribute 'MINHA_TAG_AMAZON'
2025-12-16 08:02:20.250 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 08:02:25.375 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 08:02:25.376 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/dp/B0FDBJZ8DF?...
2025-12-16 08:02:25.649 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (4/15)
2025-12-16 08:04:59.836 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (MERCADO LIVRE) ignorado: https://www.mercadolivre.com.br/social/cupons
2025-12-16 08:05:42.196 | ERROR    | src.core.link_router:processar:65 - Erro ao processar link Amazon: 'Settings' object has no attribute 'MINHA_TAG_AMAZON'
2025-12-16 08:05:42.196 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 08:05:47.585 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 08:05:47.586 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/dp/B0B75913TP?...
